7 Colored Fish,Normal Monster,1800,800
8-Claws Scorpion,Effect Monster,300,200
A Cat of Ill Omen,Flip Effect Monster,500,300
A Man with Wdjat,Effect Monster,1600,1600
A-Assault Core,Union Effect Monster,1900,200
Abaki,Effect Monster,1700,1100
ABC-Dragon Buster,Fusion Monster,3000,2800
Absolute Crusader,Effect Monster,1800,1200
Absolute King Back Jack,Effect Monster,0,0
Absorbing Jar,Flip Effect Monster,600,500
Absorbing Kid from the Sky,Effect Monster,1300,1000
Abyss Actor - Evil Heel,Pendulum Effect Monster,3000,2000
Abyss Actor - Leading Lady,Pendulum Effect Monster,1500,1000
Abyss Actor - Sassy Rookie,Pendulum Effect Monster,1700,1000
Abyss Actor - Superstar,Pendulum Effect Monster,2500,1800
Abyss Actor - Twinkle Littlestar,Pendulum Effect Monster,1000,1000
Abyss Actor - Wild Hope,Pendulum Effect Monster,1600,1200
Abyss Dweller,XYZ Monster,1700,1400
Abyss Flower,Normal Monster,750,400
Abyss Soldier,Effect Monster,1800,1300
Abyssal Kingshark,Effect Monster,1700,600
Accel Synchron,Synchro Tuner Monster,500,2100
Achacha Chanbara,Effect Monster,1400,400
Acid Crawler,Normal Monster,900,700
Acorno,Effect Monster,200,400
Acrobat Monkey,Normal Monster,1000,1800
Acrobatic Magician,Pendulum Effect Monster,800,2300
Adhesive Explosive,Effect Monster,1000,1000
Aegaion the Sea Castrum,XYZ Monster,0,3000
Agido,Effect Monster,1500,1300
Air Armor Ninja,Effect Monster,1400,1400
Air Eater,Normal Monster,2100,1600
Airknight Parshath,Effect Monster,1900,1400
Aitsu,Normal Monster,100,100
Akakieisu,Normal Monster,1000,800
Akihiron,Normal Monster,1700,1400
Alchemic Magician,XYZ Monster,1500,1500
Alexandrite Dragon,Normal Monster,2000,100
Alien Ammonite,Tuner Monster,500,200
Alien Dog,Effect Monster,1500,1000
Alien Grey,Flip Effect Monster,300,800
Alien Hunter,Effect Monster,1600,800
Alien Hypno,Gemini Monster,1600,700
Alien Infiltrator,Effect Monster,800,500
Alien Kid,Effect Monster,1600,700
Alien Mother,Effect Monster,2300,1500
Alien Overlord,Effect Monster,2200,1600
Alien Psychic,Effect Monster,200,100
Alien Shocktrooper,Normal Monster,1900,800
Alien Skull,Effect Monster,1600,1800
Alinsection,Normal Monster,950,700
Alligator's Sword,Normal Monster,1500,1200
Alligator's Sword Dragon,Fusion Monster,1700,1500
Al-Lumi'raj,Tuner Monster,1600,1000
Allure Queen LV3,Effect Monster,500,500
Allure Queen LV5,Effect Monster,1000,1000
Allure Queen LV7,Effect Monster,1500,1500
Ally Mind,Normal Tuner Monster,1800,1400
Ally of Justice Catastor,Synchro Monster,2200,1200
Ally of Justice Core Destroyer,Effect Monster,1200,200
Ally of Justice Cosmic Gateway,Effect Monster,2400,1200
Ally of Justice Cycle Reader,Tuner Monster,1000,1000
Ally of Justice Cyclone Creator,Tuner Monster,1400,1200
Ally of Justice Decisive Armor,Synchro Monster,3300,3300
Ally of Justice Enemy Catcher,Effect Monster,1800,1800
Ally of Justice Field Marshal,Synchro Monster,2900,2600
Ally of Justice Garadholg,Effect Monster,1600,400
Ally of Justice Light Gazer,Synchro Monster,2400,1600
Ally of Justice Nullfier,Effect Monster,1600,1200
Ally of Justice Omni-Weapon,Effect Monster,2200,800
Ally of Justice Quarantine,Effect Monster,1700,1200
Ally of Justice Reverse Break,Effect Monster,1200,1200
Ally of Justice Rudra,Effect Monster,1900,1200
Ally of Justice Searcher,Effect Monster,1400,100
Ally of Justice Thousand Arms,Effect Monster,1700,0
Ally of Justice Thunder Armor,Effect Monster,2700,2200
Ally of Justice Unknown Crusher,Effect Monster,1200,800
Ally Salvo,Effect Monster,400,300
Alpha The Electromagnet Warrior,Effect Monster,1700,1100
Altitude Knight,Effect Monster,1400,1200
Amarylease,Effect Monster,100,200
Amaterasu,Spirit Monster,3000,3000
Amazon of the Seas,Normal Monster,1300,1400
Amazoness Blowpiper,Effect Monster,800,1500
Amazoness Chain Master,Effect Monster,1500,1300
